SCATS Number,NB_LATITUDE,NB_LONGITUDE
970,-37.865883,145.092761
2000,-37.850389,145.095639
2200,-37.81631,145.09812
2820,-37.792946,145.031482
2825,-37.78661,145.06202
2827,-37.78093,145.07733
2846,-37.8612671,145.058038
3001,-37.813117,145.023524
3002,-37.813683,145.027931
3120,-37.821367,145.058611
3122,-37.82379,145.06466
3126,-37.8263,145.0999
3127,-37.823802,145.079222
3180,-37.794656,145.084883
3662,-37.807455,145.028869
3682,-37.835972,145.098222
3685,-37.853359,145.095151
3804,-37.83331,145.06247
3812,-37.83738,145.06119
4030,-37.79347,145.063959
4032,-37.800789,145.062529
4034,-37.810382,145.060686
4035,-37.817388,145.0593
4040,-37.831373,145.056703
4043,-37.845703,145.053984
4051,-37.79258,145.070321
4057,-37.803505,145.083124
4063,-37.812837,145.081352
4262,-37.82155,145.01503
4263,-37.821589,145.026396
4264,-37.822616,145.035354
4266,0,0
4270,-37.828717,145.034198
4272,-37.830321,145.047682
4273,-37.845414,145.044957
4321,-37.799433,145.050649
4324,-37.807726,145.038171
4335,-37.804968,145.035895
4812,-37.82859,145.01644
4821,-37.811487,145.009834